compound_id,mp_id,formula,bond_type,family,theoretical,energy_above_hull_eV_at,n_sites,sg_number,spacegroup_symbol,icohp_percolation_weight_min,icohp_percolation_weight_min_normalized,icohp_percolation_direction,icohp_sum,icohp_mean,icohp_min,icohp_max,icobi_percolation_weight_min,icobi_sum,icobi_mean,icobi_min,icobi_max,vasp_wall_time_s,lobster_wall_time_s
theo_metastable_B3Ir2_mp-1228647,mp-1228647,B3Ir2,,theo_metastable,True,0.06085322616666744,10,12.0,C2/m,0.00028000000000000003,5.710102190435987e-05,a,-159.65771999999993,-0.33754274841437615,-4.90359,0.00788,0.00068,22.488169999999997,0.047543699788583506,0.00029,0.55295,110.42,581.64
theo_metastable_B6Pb_mp-1096825,mp-1096825,B6Pb,covalent,theo_metastable,True,0.115100015000003,7,221.0,Pm-3m,0.00235,0.00030746726781969076,b,-90.74389,-0.22742829573934836,-7.64309,0.12769,0.00108,12.135409999999998,0.030414561403508768,0.00016,0.89537,46.61,173.29
theo_metastable_BPd5_mp-1228665,mp-1228665,BPd5,,theo_metastable,True,0.13249513083333042,6,139.0,I4/mmm,0.024169999999999997,0.003819489986678402,c,-59.58175,-0.4413462962962963,-6.32807,0.57068,0.01379,9.5344,0.07062518518518518,0.00396,0.69733,795.88,273.61
theo_metastable_BeAu3_mp-983539,mp-983539,BeAu3,metallic,theo_metastable,True,0.18183134000000178,4,221.0,Pm-3m,0.0241,0.011407906010215046,a,-44.17865999999998,-0.3067962499999999,-2.11257,0.00645,0.01207,6.264029999999997,0.04350020833333332,0.00333,0.22365,44.68,259.34
theo_metastable_BeCl2_mp-1190080,mp-1190080,BeCl2,ionic,theo_metastable,True,0.01870443305555547,18,217.0,I-43m,0.00237,0.00039636216463914323,a,-151.16457000000005,-0.5038819000000002,-5.97938,-0.00071,0.00077,19.755570000000024,0.06585190000000007,9e-05,0.75582,191.05,72.97
theo_metastable_CaGe2_mp-643542,mp-643542,CaGe2,metallic,theo_metastable,True,0.0978748566666674,3,12.0,C2/m,0.013049999999999999,0.003659962811412353,c,-14.503799999999996,-0.20144166666666663,-3.56561,0.00158,0.00145,3.6636699999999998,0.05088430555555555,0.00046,0.84722,39.4,86.29
theo_metastable_CoSe2_mp-1390196,mp-1390196,CoSe2,,theo_metastable,True,0.07343032750000056,12,227.0,Fd-3m,0.00084,0.00019384853967433445,b,-126.99852000000001,-0.38252566265060245,-4.33328,-0.00031,0.00414,22.933,0.06907530120481928,0.00207,0.70599,179.49,175.53
theo_metastable_Cr2C_mp-1226378,mp-1226378,Cr2C,,theo_metastable,True,0.06254013708333694,3,164.0,P-3m1,0.00208,0.0006749849913193036,a,-32.547929999999994,-0.1749888709677419,-3.08155,-0.00104,0.00136,8.637399999999998,0.04643763440860214,0.00068,0.52707,49.72,380.9
theo_metastable_CrMo_mp-1226200,mp-1226200,CrMo,metallic,theo_metastable,True,0.11631646000000018,2,65.0,Cmmm,0.04226,0.02411976553715848,a,-22.261799999999997,-0.25297499999999995,-1.75209,-0.01695,0.02629,7.67825,0.08725284090909091,0.01175,0.4739,48.38,267.87
theo_metastable_Ga2Se3_mp-1224809,mp-1224809,Ga2Se3,covalent,theo_metastable,True,0.006252534999998005,5,44.0,Imm2,0.01137,0.0020129594221372426,c,-39.80488000000002,-0.452328181818182,-5.6484,0.00528,0.00384,7.491699999999996,0.0851329545454545,0.00015,1.00933,88.41,44.07
theo_metastable_GeS_mp-12910,mp-12910,GeS,covalent,theo_metastable,True,0.0761541225000002,4,63.0,Cmcm,0.00226,0.000521199681745327,c,-25.770290000000003,-0.22605517543859652,-4.33615,-0.00094,0.00121,5.513940000000001,0.04836789473684211,0.0006,0.81988,39.86,93.19
theo_metastable_HCl_mp-684609,mp-684609,HCl,,theo_metastable,True,0.053566722500000274,2,44.0,Imm2,0.00025,3.379072458126534e-05,a,-7.493399999999999,-0.16651999999999997,-7.39848,0.00052,8e-05,0.9684899999999995,0.02152199999999999,0.0,0.94799,13.0,3.94
theo_metastable_HfMo_mp-1224314,mp-1224314,HfMo,metallic,theo_metastable,True,0.19909284749999756,2,65.0,Cmmm,0.01999,0.010336732372225784,a,-24.30091,-0.27614670454545454,-1.93388,0.0108,0.01233,6.763840000000002,0.0768618181818182,0.00381,0.50399,33.26,200.19
theo_metastable_IN2_mp-1097011,mp-1097011,IN2,,theo_metastable,True,0.07299064583333248,6,140.0,I4/mcm,0.00047,2.0277683460183904e-05,a,-48.83377999999999,-0.503441030927835,-23.17819,0.00093,0.00014,6.91818,0.07132144329896907,7e-05,2.95065,93.08,20.7
theo_metastable_InSe2_mp-1232036,mp-1232036,InSe2,,theo_metastable,True,0.17326202766492926,6,129.0,P4/nmm,0.00164,0.0006768915817800598,a,-37.357900000000015,-0.29649126984126994,-2.42284,-0.00164,0.00492,8.47071,0.06722785714285714,0.00246,0.44849,66.8,71.32
theo_metastable_IrCl3_mp-729507,mp-729507,IrCl3,,theo_metastable,True,0.030088630624999446,16,5.0,C2,0.00272,0.0004786844624655066,c,-133.85750999999996,-0.4903205494505493,-5.68224,-0.00084,0.0005499999999999999,20.60022,0.07545868131868132,0.00016,0.76952,474.25,174.57
theo_metastable_K5As4_mp-684799,mp-684799,K5As4,,theo_metastable,True,0.05643723222222263,9,2.0,P-1,0.0088,0.0021459855438610183,c,-26.337320000000002,-0.25324346153846156,-4.10068,0.00664,0.0023699999999999997,6.2749299999999995,0.06033586538461538,0.001,1.02701,80.13,28.93
theo_metastable_KSn3_mp-1185151,mp-1185151,KSn3,metallic,theo_metastable,True,0.05729916087053466,8,194.0,P6_3/mmc,0.02646,0.013677387339887728,c,-35.3986,-0.4022568181818182,-1.93458,0.0268,0.0077,8.92426,0.10141204545454546,0.00445,0.55433,149.6,116.75
theo_metastable_Li3Ag_mp-976408,mp-976408,Li3Ag,metallic,theo_metastable,True,0.0013151149999997003,4,139.0,I4/mmm,0.01154,0.005848605254622121,b,-34.50906999999997,-0.221211987179487,-1.97312,0.24047,0.00418,3.7633099999999997,0.024123782051282048,0.00036,0.13717,48.99,125.56
theo_metastable_LiTl3_mp-1185253,mp-1185253,LiTl3,metallic,theo_metastable,True,0.046669947499999864,4,139.0,I4/mmm,0.0033499999999999997,0.0023288309268747085,a,-29.33398000000002,-0.2716109259259261,-1.43849,0.0175,0.0028,5.444380000000001,0.050410925925925935,0.0014,0.25083,72.25,137.81
theo_metastable_Mg15B_mp-1023515,mp-1023515,Mg15B,,theo_metastable,True,0.19432971906249996,16,187.0,P-6m2,0.00028000000000000003,0.0020031478036915155,b,-4.3827500000000015,-0.011718582887700538,-0.13978,0.00141,4e-05,0.88487,0.00236596256684492,0.0,0.04087,149.08,144.4
theo_metastable_MgF2_mp-560236,mp-560236,MgF2,ionic,theo_metastable,True,0.10763880333333375,6,12.0,C2/m,2e-05,1.5325318191918963e-05,c,-11.834699999999991,-0.06467049180327863,-1.30503,2e-05,0.0,1.164099999999999,0.006361202185792344,0.0,0.11914,88.2,73.02
theo_metastable_MgSn_mp-1094669,mp-1094669,MgSn,metallic,theo_metastable,True,0.0559883787500004,2,221.0,Pm-3m,0.00026,0.00036831890750945584,a,-7.845770000000001,-0.17831295454545457,-0.70591,0.00122,0.0001,2.243359999999999,0.05098545454545453,0.0001,0.2238,30.3,42.9
theo_metastable_MgSn_mp-1094801,mp-1094801,MgSn,metallic,theo_metastable,True,0.021182148749999463,2,123.0,P4/mmm,0.00426,0.0033320036605110634,c,-8.82422,-0.14707033333333333,-1.27851,0.00426,0.00528,2.3914999999999997,0.03985833333333333,0.00074,0.31407,20.1,42.69
theo_metastable_MnN_mp-1009130,mp-1009130,MnN,covalent,theo_metastable,True,0.01508596781249949,2,216.0,F-43m,0.00185,0.0004601211735328353,c,-20.357629999999983,-0.13393177631578937,-4.02068,-0.00089,0.00121,5.255659999999997,0.03457671052631577,0.00023,0.67404,30.14,227.44
theo_metastable_Na2Cl_mp-990084,mp-990084,Na2Cl,,theo_metastable,True,0.1105395928735633,3,166.0,R-3m,0.037559999999999996,0.10649277005954066,a,-3.708499999999998,-0.09759210526315784,-0.3527,0.00114,0.01647,1.00453,0.026434999999999997,0.00037,0.09872,67.91,8.52
theo_metastable_Na3Cl_mp-1064484,mp-1064484,Na3Cl,,theo_metastable,True,0.145649899310345,4,123.0,P4/mmm,0.00255,0.011224579628488425,a,-4.649219999999999,-0.05601469879518071,-0.22718,0.00417,0.00030000000000000003,1.438379999999999,0.01732987951807228,0.0001,0.05763,27.83,19.02
theo_metastable_NbRh2_mp-1220414,mp-1220414,NbRh2,metallic,theo_metastable,True,0.10426935750000332,6,6.0,Pm,0.01765,0.01119426650599353,b,-44.72329000000002,-0.22818005102040825,-1.5767,-0.0134,0.0082,13.475230000000002,0.06875117346938776,0.00777,0.44099,134.26,597.73
theo_metastable_NbS2_mp-774873,mp-774873,NbS2,,theo_metastable,True,0.05761998666666823,6,194.0,P6_3/mmc,0.00012,3.743787652364358e-05,b,-47.23432,-0.38716655737704914,-3.20531,-0.00012,0.00038,10.81549,0.08865155737704919,0.00019,0.64085,135.13,66.26
theo_metastable_PtCl2_mp-1219748,mp-1219748,PtCl2,,theo_metastable,True,0.04902293166666505,6,12.0,C2/m,0.00504,0.000945004134393088,a,-50.55453,-0.561717,-5.33331,-0.00059,0.0013800000000000002,7.18231,0.07980344444444444,0.00012,0.72114,87.04,39.45
theo_metastable_Sc2O3_mp-755313,mp-755313,Sc2O3,,theo_metastable,True,0.03639289474999963,10,167.0,R-3c,0.00051,0.00015630219650557324,b,-80.45501000000017,-0.1772136784140973,-3.26291,-0.00025,0.00015000000000000001,11.736210000000009,0.02585068281938328,7e-05,0.50358,211.83,644.07
theo_metastable_ScTc3_mp-867262,mp-867262,ScTc3,metallic,theo_metastable,True,0.11536893812500004,4,225.0,Fm-3m,0.03314,0.021530805163754965,a,-34.260200000000026,-0.24471571428571448,-1.53919,-0.01549,0.0139,10.243740000000006,0.07316957142857147,0.01284,0.45315,75.16,383.12
theo_metastable_SiAu3_mp-1186998,mp-1186998,SiAu3,metallic,theo_metastable,True,0.16429186749999758,4,225.0,Fm-3m,0.005679999999999999,0.002061541365117849,b,-41.69953999999999,-0.29785385714285706,-2.75522,0.92506,0.008320000000000001,6.799959999999999,0.04857114285714285,0.00412,0.25809,70.79,229.34
theo_metastable_Sn7Pd5_mp-1219006,mp-1219006,Sn7Pd5,metallic,theo_metastable,True,0.04139117625000566,12,5.0,C2,0.0023,0.0006586917236816859,c,-128.96776000000003,-0.5200312903225808,-3.49177,0.38826,0.00933,21.009450000000005,0.0847155241935484,0.00334,0.42417,347.65,931.63
theo_metastable_SnBr2_mp-978985,mp-978985,SnBr2,covalent,theo_metastable,True,0.040465399999999985,6,136.0,P4_2/mnm,0.00033999999999999997,0.00020415025458737627,a,-20.712880000000023,-0.2725378947368424,-1.66544,0.00026,0.0016899999999999999,4.86656,0.06403368421052631,0.00013,0.36258,75.66,59.93
theo_metastable_Sr3As4_mp-678007,mp-678007,Sr3As4,,theo_metastable,True,0.006247547857142877,14,1.0,P1,0.00447,0.0013294036122899944,b,-42.3433,-0.21603724489795917,-3.36241,-0.00067,0.00146,10.90628,0.055644285714285716,0.00032,0.91898,280.56,54.37
theo_metastable_Sr3Sn_mp-1187136,mp-1187136,Sr3Sn,metallic,theo_metastable,True,0.11112304583333454,4,221.0,Pm-3m,0.00794,0.03341328956781551,a,-4.681520000000001,-0.09753166666666668,-0.23763,0.01805,0.00801,1.2946799999999992,0.026972499999999983,0.00801,0.05022,47.38,24.31
theo_metastable_SrTl3_mp-1206636,mp-1206636,SrTl3,metallic,theo_metastable,True,0.029404816250000465,4,221.0,Pm-3m,0.00329,0.0027081309780550844,b,-19.802439999999997,-0.41255083333333326,-1.21486,-0.00329,0.00348,4.307620000000001,0.08974208333333335,0.00348,0.28713,36.47,45.12
theo_metastable_Ta4C3_mp-1218000,mp-1218000,Ta4C3,,theo_metastable,True,0.03350051428571277,7,160.0,R3m,0.00144,0.00037010763963852823,a,-94.05323999999999,-0.6147270588235293,-3.89076,0.02044,0.00231,16.566650000000003,0.10827875816993465,0.00087,0.58226,1038.96,218.04
theo_metastable_TaP_mp-1187244,mp-1187244,TaP,,theo_metastable,True,0.0032522499999991794,2,187.0,P-6m2,0.03592,0.013057117619475173,a,-24.966360000000005,-0.30446780487804886,-2.75099,0.00042,0.0137,5.541500000000005,0.06757926829268299,0.00023,0.47923,35.34,95.59
theo_metastable_TaRe_mp-1217894,mp-1217894,TaRe,metallic,theo_metastable,True,0.11133223291667349,2,65.0,Cmmm,0.06977,0.03626600964737192,b,-28.78317999999998,-0.32708159090909067,-1.92384,-0.03293,0.02542,7.422860000000003,0.08435068181818185,0.01068,0.47782,58.31,353.48
theo_metastable_TcW_mp-1217337,mp-1217337,TcW,metallic,theo_metastable,True,0.10564943749999856,2,65.0,Cmmm,0.0041,0.0009452820052889682,c,-42.68046000000001,-0.4850052272727274,-4.33733,-0.00166,0.01594,8.881599999999999,0.10092727272727271,0.00774,0.73997,0.0,
theo_metastable_TiMo2_mp-1216675,mp-1216675,TiMo2,metallic,theo_metastable,True,0.061337100370366215,3,69.0,Fmmm,0.037720000000000004,0.020371460512742967,a,-32.361349999999995,-0.42027727272727267,-1.85161,-0.0072,0.01824,9.913500000000003,0.12874675324675328,0.00591,0.54104,95.12,182.59
theo_metastable_TiNi_mp-1067248,mp-1067248,TiNi,metallic,theo_metastable,True,0.0020067824999996375,4,63.0,Cmcm,0.0052899999999999996,0.005725108225108224,b,-21.736069999999984,-0.14490713333333322,-0.924,-0.00264,0.00285,8.078130000000002,0.05385420000000001,0.00142,0.30626,77.16,467.87
theo_metastable_TiSi2_mp-570991,mp-570991,TiSi2,metallic,theo_metastable,True,0.17960538666666537,3,71.0,Immm,0.01347,0.007479593536565051,b,-30.244960000000003,-0.25204133333333334,-1.8009,2e-05,0.00812,6.84916,0.05707633333333333,0.00048,0.28571,56.67,95.34
theo_metastable_TiW_mp-1216621,mp-1216621,TiW,metallic,theo_metastable,True,0.022547341666665943,2,65.0,Cmmm,0.00225,0.0005144244619120127,a,-38.29017000000001,-0.4351155681818183,-4.37382,0.00311,0.0033,8.44408,0.09595545454545454,0.0031,0.80895,0.0,
theo_metastable_Tl3Ga_mp-1187539,mp-1187539,Tl3Ga,metallic,theo_metastable,True,0.09724636562500422,4,225.0,Fm-3m,5e-05,3.498240385086302e-05,b,-24.552200000000003,-0.3230552631578948,-1.42929,0.00342,0.00289,4.858509999999999,0.06392776315789472,0.00289,0.24517,48.51,90.81
theo_metastable_Tl4Sn_mp-1216560,mp-1216560,Tl4Sn,metallic,theo_metastable,True,0.045918155999999044,5,166.0,R-3m,1.00233,0.40962255206460263,a,-57.755669999999995,-0.9167566666666666,-2.44696,0.02496,0.19271999999999997,9.160240000000002,0.14540063492063496,0.00329,0.23315,1440.11,158.54
theo_metastable_VCo3_mp-1095057,mp-1095057,VCo3,metallic,theo_metastable,True,0.09418410500000007,8,194.0,P6_3/mmc,0.00293,0.0011218016210607724,c,-103.88034000000007,-0.2951146022727275,-2.61187,0.00307,0.005770000000000001,21.855109999999996,0.06208838068181817,0.00284,0.39146,195.19,1607.68
theo_metastable_VN_mp-1017532,mp-1017532,VN,,theo_metastable,True,0.10796184249999996,4,194.0,P6_3/mmc,4e-05,1.4822775194085714e-05,a,-43.57257999999995,-0.14621671140939582,-2.69855,9e-05,0.00019,9.380229999999974,0.031477281879194546,9e-05,0.42961,88.27,898.33
theo_metastable_Y3Co_mp-1189329,mp-1189329,Y3Co,metallic,theo_metastable,True,0.0015564962500009827,16,4.0,P2_1,0.01504,0.0038565388077038466,a,-150.04215999999997,-0.5770852307692307,-3.89987,-0.00255,0.01044,31.75923,0.1221508846153846,0.00518,0.70792,845.71,2044.48
theo_metastable_YAg3_mp-1187811,mp-1187811,YAg3,metallic,theo_metastable,True,0.059440931413043074,4,225.0,Fm-3m,0.00112,0.0005994690417059175,c,-38.97065000000002,-0.2783617857142859,-1.86832,0.00825,0.00699,6.118550000000001,0.043703928571428574,0.00334,0.21272,85.81,458.57
theo_metastable_ZnPb3_mp-1187949,mp-1187949,ZnPb3,metallic,theo_metastable,True,0.11069147749999786,4,225.0,Fm-3m,0.00451,0.0034037735849056605,b,-24.815240000000006,-0.32651631578947377,-1.325,-0.0044,0.00498,5.3759500000000005,0.07073618421052633,0.00496,0.25644,52.85,90.32
theo_metastable_Zn_mp-2647117,mp-2647117,Zn,,theo_metastable,True,0.07166242999999994,1,229.0,Im-3m,0.01042,0.005754330934775046,b,-19.399560000000005,-0.3344751724137932,-1.81081,0.00812,0.00464,2.7820400000000003,0.047966206896551726,0.00188,0.21815,0.0,
theo_metastable_Zr3Be_mp-1188016,mp-1188016,Zr3Be,metallic,theo_metastable,True,0.14302901249999955,4,139.0,I4/mmm,0.00105,0.0005574787096226134,c,-43.494539999999986,-0.3507624193548386,-1.88348,0.00114,0.00855,9.259350000000001,0.07467217741935485,0.00618,0.38315,93.84,201.64
theo_metastable_Zr3Ge_mp-1188039,mp-1188039,Zr3Ge,metallic,theo_metastable,True,0.18508675843749955,8,194.0,P6_3/mmc,0.00659,0.003227986990085819,c,-80.57463000000006,-0.38737802884615413,-2.04152,-0.00659,0.0061,17.274059999999995,0.08304836538461537,0.00373,0.41363,140.29,528.61
theo_metastable_ZrO2_mp-775909,mp-775909,ZrO2,,theo_metastable,True,0.06265508166666578,6,136.0,P4_2/mnm,0.00012,2.836007846288375e-05,a,-57.65681000000004,-0.3083251871657756,-4.2313,0.02235,0.00030000000000000003,8.09212,0.043273368983957214,0.0001,0.57951,227.18,165.34
theo_metastable_ZrTi_mp-1215236,mp-1215236,ZrTi,metallic,theo_metastable,True,0.0883353483333309,2,123.0,P4/mmm,0.03154,0.019006411801571612,c,-19.68307,-0.32805116666666667,-1.65944,-0.01361,0.013999999999999999,5.965280000000001,0.09942133333333335,0.0053,0.37775,53.21,238.14
